count,asn_no,asn_org
50,11888,"Television Internacional, S.A. de C.V."
50,29182,JSC The First
50,51407,Mada ALArab LTD
50,210403,Groupe LWS SARL
50,15440,UAB Baltnetos komunikacijos
50,188,SAIC-AS
50,555,VTSII
50,9808,Guangdong Mobile Communication Co.Ltd.
50,23570,UNIVERSITY OF INCHEON
50,141995,Contabo Asia Private Limited
50,47216,Ettelaat Fanavarn-E Tookan Co Ltd
50,1221,Telstra Corporation Ltd
49,951,IOHARBOR
49,10318,CABLEVISION S.A.
49,23033,WOW
49,205320,Gwy It Pty Ltd
49,38186,"Forewin Telecom Group Limited, ISP at"
49,38121,LG HelloVision Corp.
49,7418,TELEFÓNICA CHILE S.A.
49,20446,HIGHWINDS3
49,15879,KPN B.V.
48,4609,Companhia de Telecomunicacoes de Macau SARL
48,46573,LAYER-HOST
48,38731,CHT Compamy Ltd
48,549,GTAnet Networking
48,207643,Hostinget Telekomunikasyon Ticaret Ltd. Sti.
48,29802,"HIVELOCITY, Inc."
48,572,GBMC-TOW
48,52251,NORTECH
48,38136,Akari Networks
48,203476,GANDI SAS
47,43809,Forss IT AB
47,206728,Media Land LLC
47,38095,SK Broadband Co Ltd
47,29518,Bredband2 AB
47,133752,Leaseweb Asia Pacific pte. ltd.
47,13768,COGECO-PEER1
47,44034,Hi3G Access AB
47,54994,QUANTILNETWORKS
47,5378,Vodafone Limited
47,12824,home.pl S.A.
47,17586,LG HelloVision Corp.
47,17444,HKBN Enterprise Solutions Limited
47,210993,Ip Nesterov Nikita Maksimovich
47,30873,Public Telecommunication Corporation
46,212913,FOP Hornostay Mykhaylo Ivanovych
46,211804,Sistemdc webhosting and server services
46,34971,CDLAN SpA
46,10164,SK Broadband Co Ltd
46,7018,"AT&T Services, Inc."
46,19024,INTERNAP-BLK5
46,207408,servinga GmbH
46,3326,Private Joint Stock Company datagroup
46,56472,Ampersand Srl
45,57673,Hostclean Srl
45,398343,BAXET-GROUP
45,37153,xneelo
45,53755,IOFLOOD
45,11878,TZULO
45,14745,INTERNAP-BLOCK-4
45,204341,Valtion tieto - Ja viestintatekniikkakeskus Valtori
45,13789,INTERNAP-BLK3
45,35251,Zhihua Lu
44,208287,DC Host INC
44,31242,3S S.A.
44,210538,Yusuf Kemal TURKMENOGLU
44,4847,China Networks Inter-Exchange
44,38120,LG HelloVision Corp.
44,29486,Host Europe GmbH
44,9299,Philippine Long Distance Telephone Company
44,200406,Javid Berbid Mamasani Information Technology Company PJS
44,2516,KDDI CORPORATION
44,43072,Stack Network Limited
44,12975,Palestine Telecommunications Company (PALTEL)
44,25198,Interkvm Host Srl
44,200000,Hosting Ukraine LTD
44,1103,SURF B.V.
44,50867,Hostkey B.v.
44,1680,Cellcom Fixed Line Communication L.P.
43,48108,Sole trader Malkov Dmitrii Vladimirovich
43,15557,Societe Francaise Du Radiotelephone - SFR SA
43,6233,XTOM
43,265082,ACESSONET INFORMATICA LTDA - ME
43,26337,OIS1
42,45027,LLC Internet Tehnologii
42,26599,TELEFONICA BRASIL S.A
42,33070,Rackspace Hosting
42,38103,SK Broadband Co Ltd
42,51248,Host-Telecom.com s.r.o.
42,8612,Tiscali SpA
42,967,VMISS
42,3257,GTT Communications Inc.
42,396073,MAJESTIC-HOSTING-01
41,39122,Blacknight Internet Solutions Limited
41,31815,MEDIATEMPLE
41,5390,Euronet Communications B.V.
41,28685,Routit BV
41,6939,Hurricane Electric LLC
41,18403,The Corporation for Financing & Promoting Technology
41,133115,HK Kwaifong Group Limited
41,39134,Edinaya Set Limited Liability Company
41,11179,ARYAKA-ARIN
40,5483,Magyar Telekom plc.
40,283,MPOWERLABS
40,4713,NTT Communications Corporation
40,212063,Rahkar Pardazesh Khavarmianeh Company
40,30815,Detecon Al Saudia Co. Ltd.
40,9971,SK Broadband Co Ltd
40,201671,Nuxt Hosting Solution Limited
40,400377,AS-DC
40,54913,CLOUDWEBMANAGE-CANADA
40,26496,AS-26496-GO-DADDY-COM-LLC
39,30058,FDCSERVERS
39,17072,TOTAL PLAY TELECOMUNICACIONES SA DE CV
39,131477,"Shanghai Huajuan Information Technology Co., Ltd."
39,64022,"Kamatera, Inc."
39,34619,Cizgi Telekomunikasyon Anonim Sirketi
39,32875,VIRP
39,202505,Netbudur Telekomunikasyon Limited Sirketi
39,18033,CMB TAEGU BROADCASTING
39,138152,YISU CLOUD LTD
39,24429,"Zhejiang Taobao Network Co.,Ltd"
39,35819,"Etihad Etisalat, a joint stock company"
38,203380,DA International Group Ltd.
38,136800,MOACK.Co.LTD
38,51604,JSC ER-Telecom Holding
38,20150,ANYNODE
38,31148,Freenet LTD
38,15874,INTERKAM sp. z o.o.
38,7482,Asia Pacific On-line Service Inc.
38,212228,servinga GmbH
38,35938,CMIC-5
38,9757,CMB DONDAEMOON BROADCASTING
38,3209,Vodafone GmbH
37,59253,Leaseweb Asia Pacific pte. ltd.
37,7545,TPG Telecom Limited
37,5413,Daisy Corporate Services Trading Ltd
37,45638,SYNERGY WHOLESALE PTY LTD
37,57240,Atrin Information & Communications Technology Company PJS
37,52326,PRONETWORK
37,395839,HOSTKEY-USA
37,12722,RECONN LLC
37,209372,SIA Singularity Telecom
37,50304,Blix Solutions AS
37,32097,"WholeSale Internet, Inc."
37,56048,China Mobile Communicaitons Corporation
37,9698,LG HelloVision Corp.
37,25264,Afagh Andish Dadeh Pardis Co. Ltd
36,48282,McHost.Ru
36,202685,Aggros Operations Ltd.
36,139659,LUCIDACLOUD LIMITED
36,201364,Teknoboss Teknoloji Ve Danismanlik Hizmetleri Limited Sirketi
36,28009,Davitel S.A.
36,18881,TELEFÔNICA BRASIL S.A
36,198610,Beget LLC
36,45012,dogado GmbH
36,209260,Magdalena Ewa Kovac
36,199980,IVENDO
35,52469,Offshore Racks S.A
35,212249,Yunus Emre Gezer
35,4637,Telstra Global
35,40065,CNSERVERS LLC
35,13911,Tera-byte Dot Com Inc.
35,64267,AS-SPRIO
35,34296,Millenicom Telekomunikasyon Hizmetleri Anonim Sirketi
35,35717,WEBEDIA SA
35,59764,"Atlantic.Net, INC."
35,207569,I-servers Ltd
35,62000,Serverd SAS
35,17557,Pakistan Telecommunication Company Limited
35,24445,"Henan Mobile Communications Co.,Ltd"
35,6128,CABLE-NET-1
35,200350,Yandex.Cloud LLC
35,6718,Nav Communications Srl
34,49581,Tube-Hosting
34,138968,rainbow network limited
34,138687,Xdeer Limited
34,48434,Tebyan-e-Noor Cultural-Artistic Institute
34,56047,China Mobile communications corporation
34,37457,Telkom-Internet
34,31685,TOV Teleradiocompany TIM
34,680,Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.
34,132698,"Shenzhen Balian Network Technology Co., Ltd"
34,198068,P.a.g.m. Ou
34,205727,Aruba S.p.A.
33,208485,Moon Dc
33,131965,Xserver Inc.
33,60721,Bursabil Teknoloji A.S.
33,59627,Docker LTD
33,49870,Alsycon B.V.
33,12400,Partner Communications Ltd.
33,42926,Radore Veri Merkezi Hizmetleri A.S.
33,209279,Padideh Sazan Poshtvar Co. PJS
33,8069,MICROSOFT-CORP-MSN-AS-BLOCK
33,38583,Andrew Sjoquist Enterprises Pty Ltd
33,206995,Teknofirst Veri Merkezi Yazilim Bilisim Sanayi Ve Ticaret Limited Sirketi
33,395954,LEASEWEB-USA-LAX
32,199959,Gwy It Pty Ltd
32,3243,Servicos De Comunicacoes E Multimedia S.A.
32,133480,Intergrid Group Pty Ltd
32,9370,SAKURA Internet Inc.
32,44547,Netundweb Telekomunikasyon Ticaret Limited Sirketi
32,209711,MUV Bilisim ve Telekomunikasyon Hizmetleri Ltd. Sti.
32,61223,Linkfor LLC
32,28257,CONCEITOS NET SERVICOS DE COMUNICACAO E MULTIMIDIA
32,9929,CHINA UNICOM Industrial Internet Backbone
32,400509,ASIPFB
32,30860,Virtual Systems LLC
32,44925,1984 ehf
32,197155,Artnet Sp. z o.o.
32,31863,DACEN-2
32,4685,Asahi Net
32,3249,Telia Eesti AS
32,49447,Nice IT Services Group Inc.
31,41354,ITS Technology Group Limited
31,3816,COLOMBIA TELECOMUNICACIONES S.A. ESP
31,262916,"Mega Cable, S.A. de C.V."
31,57986,Sigma IT Infrastructures Development Co. (Ltd.)
31,38277,CommuniLink Internet Limited.
31,39074,Sepanta Communication Development Co. Ltd
31,45753,Netsec Limited
31,60068,Datacamp Limited
31,2518,BIGLOBE Inc.
31,12741,Netia SA
31,54825,PACKET
31,201942,Soltia Consulting SL
31,39816,Volta Communications Sp.z.o.o.
31,6830,Liberty Global B.V.
31,55477,Loyola Heights
31,32613,IWEB-AS
30,510,INTERNET
30,29854,WESTHOST
30,48854,team.blue Denmark A/S
30,38669,LG HelloVision Corp.
30,28717,GlobalConnect A/S
30,9002,RETN Limited
30,4804,Microplex PTY LTD
30,34119,Wildcard UK Limited
30,701,"MCI Communications Services, Inc. d/b/a Verizon Business"
30,40676,AS40676
30,137693,"CHINATELECOM Guangxi Nanning IDC networkdescr: NanningGuangxi Province, P.R.China."
30,19527,Google LLC
30,51013,WebSupport s.r.o.
30,55953,"Room 704, ChinaChen Leighton Plaza"
30,577,Bell Canada
30,45382,EHOSTICT
30,15570,InterNAP Network Services U.K. Limited
29,6147,Telefonica del Peru S.A.A.
29,33915,Vodafone Libertel B.V.
29,45839,Shinjiru Technology Sdn Bhd
29,149146,"VNETKIWON SECURITY CO., LTD"
29,204372,Vincent PICCO
29,57169,EDIS GmbH
29,5650,FRONTIER-FRTR
29,6364,ATLANTIC-NET-1
29,30938,ahbr company limited
29,12703,Pulsant (Scotland) Ltd
29,52361,Empresa Argentina de Soluciones Satelitales S.A.
29,9365,its communications Inc.
29,60087,Netsons s.r.l.
29,38673,Korea Cable TV Kwangju Broadcasting
29,2914,"NTT America, Inc."
29,51557,Isimtescil Bilisim A.S.
29,205072,Layershift Limited
28,29119,Aire Networks Del Mediterraneo Sl Unipersonal
28,207728,EUROHOSTER Ltd.
28,202662,Hytron Network Services Limited
28,17622,China Unicom Guangzhou network
28,945,AUGUST-INTERNET
28,20845,DIGI Tavkozlesi es Szolgaltato Kft.
28,132692,GlobiCom Limited
28,149042,Silicon Cloud Global US
28,15435,DELTA Fiber Nederland B.V.
28,262287,Latitude.sh LTDA
28,38337,NIU Telecommunications Inc
28,151338,POLONETWORK LIMITED
28,207967,Anton Mamaev
28,58065,Packet Exchange Limited
28,18318,LG HelloVision Corp.
27,135377,UCloud (HK) Holdings Group Limited
27,577,BACOM
27,211585,Canopus It Solutions Pvt Ltd
27,394695,PUBLIC-DOMAIN-REGISTRY
27,12488,Krystal Hosting Ltd
27,61138,Zappie Host LLC
27,12430,Vodafone Spain
27,206446,CLOUD LEASE Ltd
27,136052,PT Cloud Hosting Indonesia
27,131939,IPS INC
27,37492,ORANGE
27,200456,Verigom Telekomunikasyon Limited Sirketi
27,596,CENTURYLINK-LEGACY-LVLT-596
27,12479,Orange Espagne SA
27,196927,Regionalna Telewizja Kablowa Spolka Jawna L.Iwanski i Wspolnicy
27,43357,Owl Limited
27,11161,DIGITALVIRT
27,22689,SERCOMTEL SA TELECOMUNICACOES
27,705,UUNET
27,58879,"Shanghai Anchang Network Security Technology Co.,Ltd."
27,399606,IMAGINGBAY
27,399804,HOSTODO
27,2110,BT Communications Ireland Limited
27,46475,LIMESTONENETWORKS
27,50474,O2switch Sarl
26,133159,Mammoth Media Pty Ltd
26,892,EBSI-ISP-FO-01
26,38133,CMB
26,134764,CHINANET Guangdong province network
26,10481,Prima S.A.
26,35191,Asta-net S.A.
26,9121,Turk Telekom
26,10212,China Enterprise ICT Solutions Limited
26,134963,Alibaba.com Singapore E-Commerce Private Limited
26,206890,P.H.U. Cresh.NET
26,19383,WEBEL-1
26,213005,Invermae Solutions SL
26,23005,SWITCH-LTD
26,46844,ST-BGP
26,54290,Hostwinds LLC.
26,33,HPINC
26,8359,MTS PJSC
26,49614,Viartcom LLC
26,202984,Chernyshov Aleksandr Aleksandrovich
26,42977,Ambientia Group Oy
26,38680,CMB
26,28885,Oman Telecommunications Company (S.A.O.G)
26,61098,Akenes SA
26,135373,EFLY NETWORK LIMITED
26,395092,SHOCK-1
25,32748,STEADFAST
25,35277,Llhost Inc. Srl
25,19114,Otecel S.A.
25,28006,CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP
25,58563,CHINANET Hubei province network
25,56485,Oleksandr Siedinkin
25,201133,Verdina Ltd.
25,42306,Edera Group a.s.
25,18334,"Gyounggidongbu cable tv co., Ltd."
25,29076,Citytelecom LLC
25,63438,IMAGINGBAY-INC
25,31916,AS31916
25,28695,Auto Trader Limited
25,4721,"JCOM Co., Ltd."
24,61084,Mehmet Selim Sahin
24,1659,Taiwan Academic Network TANet Information Center
24,51648,Firma Handlowa Giga Arkadiusz Kocma
24,137872,China Mobile Hong Kong Company Limited
24,197712,"10dencehispahard, S.L."
24,203576,Onur Ekren
24,5607,Sky UK Limited
24,688,RECNET-AS
24,55803,Digital Pacific Pty Ltd Australia
24,32934,"Facebook, Inc."
24,48666,MAROSNET Telecommunication Company LLC
24,4906,Frontline Communications
24,18447,AFFINITY-INTER
24,31972,EMGINECONCEPT-01
24,17113,AS-TIERP-17113
24,24318,Ministry of Education
24,43343,Tose'h Fanavari Ertebabat Pasargad Arian Co. PJS
24,62077,DT Iletisim Hizmetleri A.S.
24,39650,Atrin Information & Communications Technology Company PJS
23,7029,WINDSTREAM
23,11273,FDCSGNET
23,1741,Tieteen tietotekniikan keskus Oy
23,17809,VEE TIME CORP.
23,63838,Hengyang
23,200484,Sendinblue SAS
23,6921,ARACHNITEC
23,262287,Maxihost LTDA
23,205544,Leaseweb Uk Limited
23,25512,CD-Telematika a.s.
23,50979,ITL LLC
23,209828,Genc BT Bilisim Teknolojileri Limited Sirketi
23,23352,SERVERCENTRAL
23,29066,velia.net Internetdienste GmbH
23,140061,Qinghai Telecom
23,212744,Albanian Hosting SH.P.K.
23,23930,"IP-Converge Data Center, Inc."
23,44684,Mythic Beasts Ltd
23,31798,DATACITY
23,553,Universitaet Stuttgart
23,64434,Mizban Amvaj Sahel Sepehr Bushehr PJSC
23,207143,hosttech GmbH
23,978,SHAMROCK-TRADING-CORPORATION
23,32181,ASN-GIGENET
23,210083,Privex Inc.
22,27715,Locaweb Servicos de Internet SA
22,10197,Chonnam National University
22,49770,Internetport Sweden AB
22,21341,Soroush Rasanheh Company Ltd
22,4646,SunnyVision Limited
22,51559,Netinternet Bilisim Teknolojileri AS
22,22653,GLOBALCOMPASS
22,7621,Kyonggi University
22,27411,LEASEWEB-USA-CHI
22,397423,TIER-NET
22,5427,"PTGi International Carrier Services, Inc."
22,33363,BHN-33363
22,705,"MCI Communications Services, Inc. d/b/a Verizon Business"
22,23578,SK Broadband Co Ltd
22,3549,"Level 3 Parent, LLC"
22,35661,Virtua Systems SAS
22,4809,China Telecom Next Generation Carrier Network
22,12859,BIT BV
22,50851,VITA Ltd
22,31898,Oracle Corporation
22,30689,FLOW-NET
22,205090,First Server Limited
22,60024,Hk Cedoc Limited
22,5432,Proximus NV
22,38955,World4You Internet Services GmbH
22,27823,Dattatec.com
22,9115,Internet Names for Business Inc
21,19429,Colombia
21,51074,GOSTARESH-E-ERTEBATAT-E MABNA COMPANY (Private Joint Stock)
21,1706,UNIV-ARIZ
21,52371,XF Comunicaciones S.A.
21,9498,BHARTI Airtel Ltd.
21,19084,COLOUP
21,37315,CipherWave
21,714,APPLE-ENGINEERING
21,950,MILEHIGHWALRUS-ANYCAST
21,6697,Republican Unitary Telecommunication Enterprise Beltelecom
21,400464,VMISS
21,17444,AS number for New World Telephone Ltd.
21,18501,Codero
21,8744,OOO MediaSeti
21,20847,Previder B.V.
21,398395,DOT-TECH-LLC
21,22047,VTR BANDA ANCHA S.A.
21,994,AS-VIIRTUE
21,204957,ITL-Bulgaria Ltd.
21,31400,Accelerated IT Services & Consulting GmbH
21,58543,Guangdong
21,138997,Eons Data Communications Limited
21,44066,diva-e Datacenters GmbH
21,6057,Administracion Nacional de Telecomunicaciones
21,24835,RAYA Telecom - Egypt
21,4771,Spark New Zealand Trading Ltd.
21,8220,COLT Technology Services Group Limited
21,27,UMDNET
21,7489,HostUS
21,33984,Surfplanet GmbH
21,200,"Level 3 Parent, LLC"
21,40975,CHML Web Services SRL
21,48851,Radware Ltd
21,200220,servinga GmbH
21,1221,Telstra Pty Ltd
21,50181,KabelszatNet-2002. Musoreloszto es Kereskedelmi Kft.
21,1680,013 NetVision Ltd
21,16371,"acens Technologies, S.L."
21,34918,Pishgaman Toseeh Ertebatat Company (Private Joint Stock)
21,212663,Remote Admin Sp. Z o.o.
20,24400,"Shanghai Mobile Communications Co.,Ltd."
20,43939,Netia SA
20,33182,"HostDime.com, Inc."
20,1299,Telia Company AB
20,20115,Charter Communications
20,201971,CreeperHost LTD
20,262,VERIO
20,29314,Vectra S.A.
20,9317,INHA UNIVERSITY
20,15830,Telecitygroup International Limited
20,30633,"Leaseweb USA, Inc."
20,18747,IFX18747
20,18779,EGIHosting
20,41668,JSC ER-Telecom Holding
20,45177,Devoli
20,2497,Internet Initiative Japan Inc.
20,6871,British Telecommunications PLC
20,843,VOLTERRA-01
20,134771,"WENZHOU, ZHEJIANG Province, P.R.China."
20,7522,"STNet, Incorporated"
20,9050,Orange Romania Communication S.A
20,38805,"STXCitinet, Leading Internet & VOIP Service Provider, Ulaanbaatar, Mongolia"
20,33387,"DataShack, LC"
20,51035,JSC ER-Telecom Holding
20,328543,sun-asn
20,30277,DFW-DATACENTER
20,9658,"Eastern Telecoms Phils., Inc."
20,201160,Dogus Bilgi Islem ve Teknoloji Hizmetleri A.S
20,36647,YAHOO-GQ1
20,13645,BROADBANDONE
19,17597,SK Broadband Co Ltd
19,18450,WEBNX
19,10297,ENET-2
19,198652,ENES KOKEN
19,394303,BIGSCOOTS
19,34011,Host Europe GmbH
19,51188,Crescom Oy
19,2119,Telenor Norge AS
19,44486,SYNLINQ
19,206596,Computer Research Center of Islamic Sciences
19,142113,eServer
19,44889,Farhang Azma Communications Company LTD
19,10620,Telmex Colombia S.A.
19,133398,Tele Asia Limited
19,213296,SIA Singularity Telecom
19,15411,DUPONT NUTRITION BIOSCIENCES ApS
19,283,"MPower Labs, Inc."
19,3223,Voxility LLP
19,22822,LLNW
19,141167,AgotoZ HK Limited
19,12714,Net By Net Holding LLC
19,47288,FIXNET Telekomunikasyon Limited Sirketi
18,33387,NOCIX
18,203833,First Colo GmbH
18,131596,TBC
18,54600,PEG TECH INC
18,30447,INFB2-AS
18,39686,Eurofiber Nederland BV
18,18747,IFX Corporation
18,204997,First Server Limited
18,846,SOLV-OCC-01
18,327901,Level7-AS
18,5645,"TekSavvy Solutions, Inc."
18,28118,ALTICE DOMINICANA S.A.
18,8551,Bezeq International Ltd.
18,22773,Cox Communications Inc.
18,910,NORTA-CANAL
18,25310,Vodafone Enterprise U.K.
18,780,Renater
18,327979,DIAMATRIX
18,31122,Digiweb ltd
18,132813,HK AISI CLOUD COMPUTING LIMITED
18,12768,JSC ER-Telecom Holding
18,33182,DIMENOC
18,27747,Telecentro S.A.
18,33,HP-33
18,7859,pair Networks
18,29066,Host Europe GmbH
17,38096,SK Broadband Co Ltd
17,200590,NLS Kazakhstan LLC
17,10834,Telefonica de Argentina
17,41356,Spoldzielnia Mieszkaniowa w Grudziadzu
17,137690,"Zaozhuang,Shandong Province, P.R.China."
17,21263,TeleData GmbH
17,199765,Hostaris Limited
17,12182,Internap Corporation
17,45559,QUZA TECH
17,60380,Pixel X e.K.
17,30083,HEG US Inc.
17,855,CANET-ASN-4
17,17506,ARTERIA Networks Corporation
17,199707,ByteVirt LLC
17,135161,"GMO-Z com NetDesign Holdings Co., Ltd."
17,51431,Rasaneh Avabarid Private Joint Stock Company
17,6736,Institute for Research in Fundamental Sciences
17,11042,NETWORK TRANSIT HOLDINGS LLC
17,206388,Gostaresh Ertebat Azin Kia Company PJSC
17,31229,Fotigo.pl Sp. z o.o.
17,397373,H4Y-TECHNOLOGIES
17,11351,TWC-11351-NORTHEAST
17,56044,China Mobile communications corporation
17,17819,Equinix Asia Pacific
17,29470,JSC RetnNet
17,202242,Aruba S.p.A.
17,5639,Telecommunication Services of Trinidad and Tobago
17,24951,EveryWare AG
17,56655,TerraHost AS
17,16623,AHS
17,45996,DAOU TECHNOLOGY
17,3329,Vodafone-panafon Hellenic Telecommunications Company SA
17,17223,DATABANK-LATISYS
17,9354,Community Network Center Inc.
17,134520,GigsGigs Network Services
17,19867,VOODOO1
17,133776,Quanzhou
17,50738,Huize Telecom Limited
16,29194,MTS PJSC
16,197019,"WEDOS Internet, a.s."
16,812,Rogers Communications Canada Inc.
16,58003,Planeetta Internet Oy
16,38091,LG HelloVision Corp.
16,1241,Forthnet
16,5610,"O2 Czech Republic, a.s."
16,13951,DATABANK-SLC
16,4230,CLARO S.A.
16,136620,VMHaus Limited
16,48024,Nerocloud Ltd
16,210104,Wawtel Sp. z o.o.
16,60140,Buzinessware FZCO
16,36994,Vodacom-VB
16,131353,NhanHoa Software company
16,208626,ServTech LTD
16,197248,Dravanet Co Ltd.
16,7459,GRANDECOM-AS1
16,15348,TUCOWS
16,47330,Mobin Net Communication Company (Private Joint Stock)
16,25987,WESTCHESTER-LIBRARY
16,208582,Nessus GmbH
16,38008,Aperture Science Limited
16,27699,TELEFÔNICA BRASIL S.A
16,31822,CITY-UNIVERSITY-OF-NEW-YORK
16,197328,Istanbuldc Veri Merkezi Ltd Sti
16,27947,Telconet S.A
16,20021,HostMySite
16,14148,EXLIBRIS
16,44709,O.m.c. Computers & Communications Ltd
16,57367,Atman Sp. z o.o.
16,29084,Comnet Bulgaria Holding Ltd.
16,34788,Neue Medien Muennich GmbH
16,206119,Veganet Teknolojileri ve Hizmetleri LTD STI
15,35041,Binero AB
15,53850,"GorillaServers, Inc."
15,20910,Baltcom SIA
15,399820,ATOMIC-NETWORKS-1
15,2914,NTT-COMMUNICATIONS-2914
15,8851,GCI Network Solutions Limited
15,1653,Vetenskapsradet / SUNET
15,24768,Almouroltec Servicos De Informatica E Internet Lda
15,39120,Convergenze S.p.A.
15,197902,Hostnet B.V.
15,59504,LLC Vpsville
15,10796,TWC-10796-MIDWEST
15,203461,Register S.p.A.
15,19905,SECURITYSERVICES
15,44400,Ertebatat Sabet Parsian Co. PJS
15,42807,Aerotek Bilisim Sanayi ve Ticaret AS
15,11845,Vox-Telecom
15,41496,Tv Sat 2002 Srl
15,26615,TIM SA
15,48309,Ariana Gostar Spadana (PJSC)
15,393296,AUGUSTANACOLLEGEROCKISLANDIL
15,13036,T-Mobile Czech Republic a.s.
15,13354,zColo
15,202423,Tyurin Viktor Mihaylovich
15,10088,KWANGWOON UNIVERSITY
15,38001,NewMedia Express Pte Ltd
15,23338,ASN-DCS-01
15,47594,Lc comlink
15,42503,Oktawave S.A.
15,55286,B2 Net Solutions Inc.
15,57446,Telemont Service S.R.L.
15,207083,HostSlim B.V.
15,137687,"Luoyang, Henan Province, P.R.China."
15,44066,First Colo GmbH
15,12956,TELEFONICA TELXIUS
15,48011,Turunc Smart Bilgisayar Ve Teknoloji Ve Dis Tecaret Limited
15,62212,SmartApe OU
15,41564,Orion Network Limited
15,8764,"Telia Lietuva, AB"
15,1267,WIND Telecomunicazioni S.p.A.
15,18678,INTERNEXA S.A. E.S.P
15,208972,Gibirnet Iletisim Hizmetleri Sanayi Ve Ticaret Limited Sirketi
15,133800,PT Biznet Gio Nusantara
15,41608,"NextGenWebs, S.L."
15,209357,LLC ittsb
15,139628,"Mega Truenet Communication Co., Ltd."
15,29432,TREX Regional Exchanges Oy
15,18126,"Chubu Telecommunications Company, Inc."
15,18026,JEJU NATIONAL UNIVERSITY
15,14080,Telmex Colombia S.A.
14,41881,Fanava Group
14,46475,"Limestone Networks, Inc."
14,64458,Mizban Dade Pasargad
14,8888,xTom Pty Ltd
14,47381,DoclerWeb Informatikai Kft.
14,949,XTOM
14,9316,DACOM-PUBNETPLUS
14,52423,Data Miners S.A. ( Racknation.cr )
14,63859,PT. Eka Mas Republik
14,134768,CHINANET SHAANXI province Cloud Base network
14,198949,Dc Protection Ltd
14,14992,CRYSTALTECH
14,19515,ORICOM-QUEBEC1
14,203936,Mismenet Telecomunicaciones S.l.
14,843,Volterra Inc
14,13124,A1 Bulgaria EAD
14,39217,Elmec Informatica S.p.A.
14,50113,MediaServicePlus LLC
14,132068,DIGICORE LIMITED
14,197226,sprint S.A.
14,19318,"Interserver, Inc"
14,26347,"New Dream Network, LLC"
14,34779,"T-2, d.o.o."
14,11556,Cable & Wireless Panama
14,35645,Limited Liability Company VLADINFO
14,19254,KOCH-INDUSTRIES
14,30764,PODA a.s.
14,22552,ESITED
14,212335,Simoresta UAB
14,135330,ADCDATA.COM
14,8315,Accenture B. V.
14,27257,Webair Internet Development Company Inc.
14,9617,"JCOM Co., Ltd."
14,39364,Hormoz IT & Network Waves Connection Co. (PJS)
14,43830,Digital Energy LLC
14,60117,Host Sailor Ltd.
14,49635,Cloudi Nextgen Sl
14,210574,Yunus Emre Atilgan Poyraz Hosting
14,2152,CSUNET-NW
14,53363,TANGRAM-CANADA-INC
14,131652,NETGUARD INTERNATIONAL
14,6327,SHAW
14,7004,CTC Transmisiones Regionales S.A.
14,21396,NetConnex Broadband Ltd.
14,8399,SEWAN SAS
14,17583,Keumgang Cable Network
14,52209,Atis Omran Sevin PSJ
14,53714,LONDONDRUGS
13,56005,"Zhengzhou Fastidc Technology Co.,Ltd."
13,9572,Hankuk University of Foreign Studies Computer Center
13,4773,MobileOne Ltd. Mobile/Internet Service Provider Singapore
13,29854,"WestHost, Inc."
13,7057,MANAGEDNETWORK
13,10099,China Unicom Global
13,19905,NEUSTAR-AS6
13,46844,Sharktech
13,12196,ETSY
13,34362,Terrakom d.o.o.
13,31246,Nej.cz s.r.o.
13,38097,SK Broadband Co Ltd
13,43146,"Domain names registrar REG.RU, Ltd"
13,198203,RouteLabel V.O.F.
13,63916,IPTELECOM Global
13,12849,Hot-Net internet services Ltd.
13,24309,Atria Convergence Technologies Pvt. Ltd. Broadband Internet Service Provider INDIA
13,46562,TOTAL-SERVER-SOLUTIONS
13,45652,VPLS ASIA
13,2635,AUTOMATTIC
13,14117,Telefonica del Sur S.A.
13,3292,Tele Danmark
13,204641,HOSTGW SRL
13,32708,LoadEdge Limited
13,6878,T-Systems International GmbH
13,9443,Vocus Retail
13,203,CENTURYLINK-LEGACY-LVLT-203
13,262589,INTERNEXA Brasil Operadora de Telecomunicacoes S.A
13,13649,ViaWest
13,16010,Magticom Ltd.
13,29169,GANDI SAS
13,7684,SAKURA Internet Inc.
13,203511,Ozbay Bilisim Internet Hizmetleri Limited Sirketi
13,17054,AS17054
13,27357,RACKSPACE
13,50512,JSC ER-Telecom Holding
13,10297,eNET Inc.
13,2614,Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare
13,63410,PRIVATESYSTEMS
13,42675,Obehosting AB
13,18563,CGI Group Inc.
13,142002,Scloud Pte Ltd
13,31863,"Centrilogic, Inc."
13,4758,National Informatics Centre
13,4739,Internode Pty Ltd
13,56309,408 Fl4 CATTOWER
13,140403,PT. Graha Fatta
13,50463,Triple C Cloud Computing Ltd.
13,43811,"Telia Lietuva, AB"
13,14277,GIGSTREEM
13,50767,FIBERLINK Sp. z o.o.
13,264635,CONECTIVE S.A. DE C.V.
13,18168,CMB TAEGU BROADCAST SUSEONG
13,39570,Loopia AB
13,12637,SEEWEB s.r.l.
13,48359,Hesabgar Pardaz Gharb PJSC
13,852,TELUS Communications
13,63612,Shenzhen Qianhai bird cloud computing Co. Ltd.
12,8881,1&1 Versatel Deutschland GmbH
12,24009,HK UNITE TELECOMMUNICATIONS DEVELOPMENT LIMITED
