count,asn_no,asn_org
568,55933,Cloudie Limited
565,25098,Netcalibre Ltd
564,1342,Fujitsu Invia Finland IP-network
563,48147,Asre Pardazeshe Ettelaate Amin Institute
563,31549,Aria Shatel Company Ltd
559,559,SWITCH
553,133774,Fuzhou
553,217,UMN-SYSTEM
551,137693,AnQing
550,60077,Asre Dadeha Asiatech
547,13897,CDC1
545,14,COLUMBIA-GW
544,33696,NEXTARRAY-ASN-01
543,9,CMU-ROUTER
538,54113,FASTLY
535,212317,Hetzner Online GmbH
534,1759,Telia Finland Oyj
533,25,UCB
531,224,Kunnskapssektorens Tjenesteleverandor
527,557,UMAINE-SYS-AS
526,81,NCREN
524,4583,THOMSON-REUTERS
524,12,NYU-DOMAIN
522,161,TI-AS
522,676,United Nations Development Programme
517,7979,SERVERS-COM
516,208685,Serverius Holding B.V.
515,565,VTT Technical Research Centre of Finland Ltd
515,1,LVLT-1
514,10,CSNET-EXT-AS
514,29,YALE-AS
513,21,RAND
513,156,NORTHEASTERN-GW-AS
513,42174,Sipcom Ltd.
512,23650,AS Number for CHINANET jiangsu province backbone
511,10753,LUMEN-LEGACY-L3-CUSTOMER-SHARED-USE
510,131325,CHINATELECOM JIANGSU province NANTONG MAN network
509,134175,"UNIT A17,9F SILVERCORP INTL TOWER 707-713 NATHAN RD"
508,199524,G-Core Labs S.A.
508,292,ESNET-WEST
508,91,RPI-AS
508,4,ISI-AS
507,52,UCLA
507,20853,eTOP sp. z o.o.
506,21556,NARC-EROOT
506,55,UPENN
504,204548,Kamatera Inc
504,7552,Viettel Group
502,264,SRINET-AS
502,250,AS250.net Foundation
501,27401,KROLL-EP
500,59,WISC-MADISON-AS
500,397563,ADEOXTECH
499,131,UCSB-NET-AS
498,49100,Pishgaman Toseeh Ertebatat Company (Private Joint Stock)
494,211584,HostCram LLC
489,58541,"Qingdao,266000"
485,18465,WORKDAY-01
481,132585,SkyExchange Internet Access
478,207651,Hosting technology LTD
474,26585,SIAC-SFTI
470,133775,Xiamen
469,555,"Velocity Technology Solutions, Inc"
465,53667,PONYNET
465,229,MERIT-AS-6
463,549,GTANET-AS
460,212552,BitCommand LLC
457,4373,OCLC-AS
453,202053,UpCloud Ltd
453,4134,"No.31,Jin-rong Street"
451,49981,WorldStream B.V.
443,31214,TIS Dialog LLC
442,17511,OPTAGE Inc.
439,58061,Scalaxy B.V.
431,26347,DREAMHOST-AS
428,208161,Pars Shabakeh Azarakhsh LLC
428,24446,NetRegistry Pty Ltd.
428,28753,Leaseweb Deutschland GmbH
427,9009,M247 Ltd
426,30811,EPiServer AB
424,132839,POWER LINE DATACENTER
416,52019,Oracle Svenska AB
414,142403,YISU CLOUD LTD
408,202422,G-Core Labs S.A.
406,18978,ENZUINC
404,33491,COMCAST-33491
404,45758,Triple T Internet/Triple T Broadband
395,14956,-Reserved AS
389,21501,Host Europe GmbH
386,9319,HCN CHUNGBUK CABLE TV SYSTEMS
386,136958,China Unicom Guangdong IP network
384,979,NETLAB-SDN
381,58073,YISP B.V.
377,7623,Gyeongbuk Cable TV
376,8100,ASN-QUADRANET-GLOBAL
373,46844,SHARKTECH
369,131659,NETEASE
367,24560,"Bharti Airtel Ltd., Telemedia Services"
363,141157,Guangxi Telecom Nanning Wuxiang Yuanyang IDC
360,9981,Saero Network Service LTD
358,11572,PhoenixNAP LLC
356,197695,"Domain names registrar REG.RU, Ltd"
354,4760,HKT Limited
352,60781,LeaseWeb Netherlands B.V.
351,22927,Telefonica de Argentina
348,60404,The Infrastructure Group B.V.
345,135377,UCLOUD INFORMATION TECHNOLOGY HK LIMITED
337,63911,"NetActuate, Inc"
336,209,CENTURYLINK-US-LEGACY-QWEST
331,4812,China Telecom (Group)
331,25184,Afranet
329,50673,Serverius Holding B.V.
326,20446,STACKPATH-CDN
320,1267,Wind Tre S.p.A.
315,199785,"Cloud Hosting Solutions, Limited."
314,7160,NETDYNAMICS
310,8708,RCS & RDS
309,200088,Artnet Sp. z o.o.
309,62904,AS62904
305,137697,"CHINATELECOM JiangSu YangZhou IDC networkdescr: YangZhouJiangsu Province, P.R.China."
304,18403,FPT Telecom Company
303,398993,PEGTECHINC-AP-03
302,36352,ColoCrossing
301,20161,TRGO
299,62005,BlueVPS OU
298,61135,Comnet Bilgi Iletisim Teknolojileri Ticaret A.s.
296,21565,AS21565
294,800,ONEWEB
292,10474,OPTINET
288,35278,Sprinthost.ru LLC
287,17839,LG HelloVision Corp.
286,48430,Perviy TSOD LLC
285,12876,Scaleway S.a.s.
285,17018,QTS-SAC
285,30823,combahton GmbH
284,3215,Orange
283,139203,Guizhou GuiAn IDC
283,58461,CT-HangZhou-IDC
280,40994,Hohl IT e.U.
279,197540,netcup GmbH
279,398101,GO-DADDY-COM-LLC
278,24547,Hebei Mobile Communication Company Limited
276,48011,Turunc Smart Bilgisayar Teknoloji Ve Dis Ticaret Limited Sirketi
275,57043,Hostkey B.v.
273,9452,Korea University
271,210329,Kamatera Inc
271,9686,SungKyunKwan University SKKU
270,6939,HURRICANE
270,56630,Melbikomas UAB
270,58541,Xiangtan
269,1901,A1 Telekom Austria AG
269,20738,Host Europe GmbH
267,9304,HGC Global Communications Limited
266,48635,CLDIN B.V.
265,134766,CHINANET Yunnan province IDC2 network
264,57391,Laser Company Ltd
264,26383,ASNET
264,25369,Hydra Communications Ltd
263,207724,Web Dadeh Paydar Co (Ltd)
260,24961,myLoc managed IT AG
259,206067,Three
258,62068,SpectraIP B.V.
258,20860,Iomart Cloud Services Limited
258,49392,LLC Baxet
258,3177,Visparad Web Hosting Service LLC
256,50340,OOO Network of data-centers Selectel
256,18182,Sony Network Taiwan Limited
250,29802,HVC-AS
249,44066,firstcolo GmbH
248,9694,Seokyung Cable Television Co.. Ltd.
247,9845,LG HelloVision Corp.
247,39798,MivoCloud SRL
244,207326,HostLAB Bilisim Teknolojileri A.S.
243,46606,UNIFIEDLAYER-AS-1
242,34412,Saba Hour Yeganeh Co. ( Private Joint Stock)
238,60631,Pars Parva System LLC
236,15731,InterLIR GmbH
234,16628,DEDICATED-FIBER-COMMUNICATIONS
234,6805,Telefonica Germany
233,7418,TELEFONICA CHILE S.A.
233,132742,Guochao Group limited
232,134763,CHINANET Guangdong province network
230,39368,Mahdiar Rafiee
228,4780,Digital United Inc.
227,4816,China Telecom Group
226,41378,Kirino LLC
225,43260,Dgn Teknoloji A.s.
225,62679,"Shopify, Inc."
224,17676,Softbank BB Corp.
222,3356,LEVEL3
221,133481,AIS Fibre
220,29222,Infomaniak Network SA
220,10066,LG HelloVision Corp.
220,7506,"GMO Internet,Inc"
219,566,SSC-299-Z-566
218,45374,CCS
217,23467,New Relic
214,205399,Hostigger INC.
213,54574,DMIT
211,134810,China Mobile Group JiLin communications corporation
211,7018,ATT-INTERNET4
211,36351,SoftLayer Technologies Inc.
211,30633,LEASEWEB-USA-WDC
209,202269,BitCommand
208,142032,"High Family Technology Co., Limited"
207,35372,Mizban Dadeh Iranian Co. (Ltd)
207,9809,"SHENZHEN NOVA TECHNOLOGIES DEVELOPMENT.,LTD."
206,135905,VIETNAM POSTS AND TELECOMMUNICATIONS GROUP
204,35913,DEDIPATH-LLC
203,207709,Cnc Bilisim Hizmetleri Ins San Tic Ltd Sti
202,17849,SK Broadband Co Ltd
201,58539,China Telecom
198,786,Jisc Services Limited
197,101,University of Washington
197,48551,Sindad Network Technology Ltd.
197,20473,"Choopa, LLC"
197,13768,Cogeco Peer 1
194,39378,servinga GmbH
194,27647,WEEBLY
193,17378,AS17378
192,207279,Markahost Telekomunikasyon Ve Ticaret Limited Sirketi
192,8447,A1 Telekom Austria AG
191,3214,xTom GmbH
190,136933,Gigabitbank Global
187,26658,HENGTONG-IDC-LLC
186,7393,CYBERCON
185,197068,HLL LLC
184,24658,"Information & Computing Center, Ltd."
182,17598,LG HelloVision Corp.
179,20115,CHARTER-20115
178,136907,HUAWEI CLOUDS
178,5603,"Telekom Slovenije, d.d."
177,14782,THEROCKETSCIENCEGROUP
